Generation	Distance
0	0.046
1	0.046
2	0.046
3	0.046
4	0.046
5	0.046
6	0.046
7	0.046
8	0.046
9	0.046
10	0.046
11	0.046
12	0.046
13	0.046
14	0.046
15	0.046
16	0.046
17	0.046
18	0.046
19	0.046
20	0.046
21	0.046
22	0.046
23	0.046
24	0.046
25	0.046
26	0.046
27	0.046
28	0.046
29	0.046
30	0.046
31	0.046
32	0.046
33	0.046
34	0.046
35	0.046
36	0.046
37	0.046
38	0.046
39	0.046
40	0.046
41	0.046
42	0.046
43	0.046
44	0.046
45	0.046
46	0.046
47	0.046
48	0.046
49	0.046
50	0.046
51	0.046
52	0.046
53	0.046
54	0.046
55	0.046
56	0.046
57	0.046
58	0.046
59	0.046
60	0.046
61	0.046
62	0.046
63	0.046
64	0.046
65	0.046
66	0.046
67	0.046
68	0.046
69	0.046
70	0.046
71	0.046
72	0.046
73	0.046
74	0.046
75	0.046
76	0.046
77	0.046
78	0.046
79	0.046
80	0.046
81	0.046
82	0.046
83	0.046
84	0.046
85	0.046
86	0.046
87	0.046
88	0.046
89	0.046
90	0.046
91	0.046
92	0.046
93	0.046
94	0.046
95	0.046
96	0.046
97	0.046
98	0.046
99	0.046
100	0.046
101	0.046
102	0.046
103	0.046
104	0.046
105	0.046
106	0.046
107	0.046
108	0.046
109	0.046
110	0.046
111	0.046
112	0.046
113	0.046
114	0.046
115	0.046
116	0.046
117	0.046
118	0.046
119	0.046
120	0.046
121	0.046
122	0.046
123	0.046
124	0.046
125	0.046
126	0.046
127	0.046
128	0.046
129	0.046
130	0.046
131	0.046
132	0.046
133	0.046
134	0.046
135	0.046
136	0.046
137	0.046
138	0.046
139	0.046
140	0.046
141	0.046
142	0.046
143	0.046
144	0.046
145	0.046
146	0.046
147	0.046
148	0.046
149	0.046
150	0.046
151	0.046
152	0.046
153	0.046
154	0.046
155	0.046
156	0.046
157	0.046
158	0.046
159	0.046
160	0.046
161	0.046
162	0.046
163	0.046
164	0.046
165	0.046
166	0.046
167	0.046
168	0.046
169	0.046
170	0.046
171	0.046
172	0.046
173	0.046
174	0.046
175	0.046
176	0.046
177	0.046
178	0.046
179	0.046
180	0.046
181	0.046
182	0.046
183	0.046
184	0.046
185	0.046
186	0.046
187	0.046
188	0.046
189	0.046
190	0.046
191	0.046
192	0.046
193	0.046
194	0.046
195	0.046
196	0.046
197	0.046
198	0.046
199	0.046
200	0.046
201	0.046
202	0.046
203	0.046
204	0.046
205	0.046
206	0.046
207	0.046
208	0.046
209	0.046
210	0.046
211	0.046
212	0.046
213	0.046
214	0.046
215	0.046
216	0.046
217	0.046
218	0.046
219	0.046
220	0.046
221	0.046
222	0.046
223	0.046
224	0.046
225	0.046
226	0.046
227	0.046
228	0.046
229	0.046
230	0.046
231	0.046
232	0.046
233	0.046
234	0.046
235	0.046
236	0.046
237	0.046
238	0.046
239	0.046
240	0.046
241	0.046
242	0.046
243	0.046
244	0.046
245	0.046
246	0.046
247	0.046
248	0.046
249	0.046
250	0.046
251	0.046
252	0.046
253	0.046
254	0.046
255	0.046
256	0.046
257	0.046
258	0.046
259	0.046
260	0.046
261	0.046
262	0.046
263	0.046
264	0.046
265	0.046
266	0.046
267	0.046
268	0.046
269	0.046
270	0.046
271	0.046
272	0.046
273	0.046
274	0.046
275	0.046
276	0.046
277	0.046
278	0.046
279	0.046
280	0.046
281	0.046
282	0.046
283	0.046
284	0.046
285	0.046
286	0.046
287	0.046
288	0.046
289	0.046
290	0.046
291	0.046
292	0.046
293	0.046
294	0.046
295	0.046
296	0.046
297	0.046
298	0.046
299	0.046
