Generation	Distance
0	0.042
1	0.042
2	0.042
3	0.042
4	0.042
5	0.042
6	0.042
7	0.042
8	0.042
9	0.042
10	0.042
11	0.042
12	0.042
13	0.042
14	0.042
15	0.042
16	0.042
17	0.042
18	0.042
19	0.042
20	0.042
21	0.042
22	0.042
23	0.042
24	0.042
25	0.042
26	0.042
27	0.042
28	0.042
29	0.042
30	0.042
31	0.042
32	0.042
33	0.042
34	0.042
35	0.042
36	0.042
37	0.042
38	0.042
39	0.042
40	0.042
41	0.042
42	0.042
43	0.042
44	0.042
45	0.042
46	0.042
47	0.042
48	0.042
49	0.042
50	0.042
51	0.042
52	0.042
53	0.042
54	0.042
55	0.042
56	0.042
57	0.042
58	0.042
59	0.042
60	0.042
61	0.042
62	0.042
63	0.042
64	0.042
65	0.042
66	0.042
67	0.042
68	0.042
69	0.042
70	0.042
71	0.042
72	0.042
73	0.042
74	0.042
75	0.042
76	0.042
77	0.042
78	0.042
79	0.042
80	0.042
81	0.042
82	0.042
83	0.042
84	0.042
85	0.042
86	0.042
87	0.042
88	0.042
89	0.042
90	0.042
91	0.042
92	0.042
93	0.042
94	0.042
95	0.042
96	0.042
97	0.042
98	0.042
99	0.042
100	0.042
101	0.042
102	0.042
103	0.042
104	0.042
105	0.042
106	0.042
107	0.042
108	0.042
109	0.042
110	0.042
111	0.042
112	0.042
113	0.042
114	0.042
115	0.042
116	0.042
117	0.042
118	0.042
119	0.042
120	0.042
121	0.042
122	0.042
123	0.042
124	0.042
125	0.042
126	0.042
127	0.042
128	0.042
129	0.042
130	0.042
131	0.042
132	0.042
133	0.042
134	0.042
135	0.042
136	0.042
137	0.042
138	0.042
139	0.042
140	0.042
141	0.042
142	0.042
143	0.042
144	0.042
145	0.042
146	0.042
147	0.042
148	0.042
149	0.042
150	0.042
151	0.042
152	0.042
153	0.042
154	0.042
155	0.042
156	0.042
157	0.042
158	0.042
159	0.042
160	0.042
161	0.042
162	0.042
163	0.042
164	0.042
165	0.042
166	0.042
167	0.042
168	0.042
169	0.042
170	0.042
171	0.042
172	0.042
173	0.042
174	0.042
175	0.042
176	0.042
177	0.042
178	0.042
179	0.042
180	0.042
181	0.042
182	0.042
183	0.042
184	0.042
185	0.042
186	0.042
187	0.042
188	0.042
189	0.042
190	0.042
191	0.042
192	0.042
193	0.042
194	0.042
195	0.042
196	0.042
197	0.042
198	0.042
199	0.042
200	0.042
201	0.042
202	0.042
203	0.042
204	0.042
205	0.042
206	0.042
207	0.042
208	0.042
209	0.042
210	0.042
211	0.042
212	0.042
213	0.042
214	0.042
215	0.042
216	0.042
217	0.042
218	0.042
219	0.042
220	0.042
221	0.042
222	0.042
223	0.042
224	0.042
225	0.042
226	0.042
227	0.042
228	0.042
229	0.042
230	0.042
231	0.042
232	0.042
233	0.042
234	0.042
235	0.042
236	0.042
237	0.042
238	0.042
239	0.042
240	0.042
241	0.042
242	0.042
243	0.042
244	0.042
245	0.042
246	0.042
247	0.042
248	0.042
249	0.042
250	0.042
251	0.042
252	0.042
253	0.042
254	0.042
255	0.042
256	0.042
257	0.042
258	0.042
259	0.042
260	0.042
261	0.042
262	0.042
263	0.042
264	0.042
265	0.042
266	0.042
267	0.042
268	0.042
269	0.042
270	0.042
271	0.042
272	0.042
273	0.042
274	0.042
275	0.042
276	0.042
277	0.042
278	0.042
279	0.042
280	0.042
281	0.042
282	0.042
283	0.042
284	0.042
285	0.042
286	0.042
287	0.042
288	0.042
289	0.042
290	0.042
291	0.042
292	0.042
293	0.042
294	0.042
295	0.042
296	0.042
297	0.042
298	0.042
299	0.042
